source_id,name,type,url,status,expected_media_type,observed_failure_class,evidence_ref,replacement_status,authority_ref,notes
SRC-COURTLISTENER-NYSD,CourtListener NYSD RSS,rss,https://www.courtlistener.com/feed/court/district-courts/new-york/nysd/dockets/,quarantined_pending_revalidation,application/rss+xml,permanent,data/evidence/runs/ai-search-29227794883.json,replacement_required,FREE_DOM_MIRROR_HANDOFF.md,Observed HTTP 404; retained for governed replacement review
SRC-REUTERS-US,Reuters US,rss,https://www.reuters.com/finance/markets/us,quarantined_pending_revalidation,application/rss+xml,access-restricted,data/evidence/runs/ai-search-29227794883.json,replacement_required,FREE_DOM_MIRROR_HANDOFF.md,Observed HTTP 401; no guessed replacement authorized
SRC-REUTERS-WORLD,Reuters World,rss,https://www.reuters.com/world/,quarantined_pending_revalidation,application/rss+xml,access-restricted,data/evidence/runs/ai-search-29227794883.json,replacement_required,FREE_DOM_MIRROR_HANDOFF.md,Observed HTTP 401; no guessed replacement authorized
SRC-AP-TOP,AP Top News,rss,https://apnews.com/hub/ap-top-news,quarantined_pending_revalidation,application/rss+xml,malformed,data/evidence/runs/ai-search-29227794883.json,replacement_required,FREE_DOM_MIRROR_HANDOFF.md,HTML landing page was configured as RSS and failed parsing
SRC-CSPAN-RECENT,C-SPAN Recent Programs,rss,https://www.c-span.org/common/rss/?channel=recentPrograms,quarantined_pending_revalidation,application/rss+xml,permanent,data/evidence/runs/ai-search-29227794883.json,replacement_required,FREE_DOM_MIRROR_HANDOFF.md,Observed HTTP 404 and 202 responses
SRC-HOUSE-OVERSIGHT-RSS,House Oversight Press,rss,https://oversight.house.gov/feed/,active,application/rss+xml,,data/evidence/runs/ai-search-29227794883.json,none,FREE_DOM_MIRROR_HANDOFF.md,Healthy in activation run
SRC-PBS-NEWSHOUR,PBS NewsHour RSS,rss,https://www.pbs.org/newshour/feeds/rss,quarantined_pending_revalidation,application/rss+xml,permanent,data/evidence/runs/ai-search-29227794883.json,replacement_required,FREE_DOM_MIRROR_HANDOFF.md,Observed HTTP 404; duplicate entry already removed
SRC-NYT-US,New York Times US RSS,rss,https://rss.nytimes.com/services/xml/rss/nyt/US.xml,active,application/rss+xml,,data/evidence/runs/ai-search-29227794883.json,none,FREE_DOM_MIRROR_HANDOFF.md,Healthy in activation run
SRC-WAPO-POLITICS,Washington Post Politics RSS,rss,https://feeds.washingtonpost.com/rss/politics,active,application/rss+xml,,data/evidence/runs/ai-search-29227794883.json,none,FREE_DOM_MIRROR_HANDOFF.md,Healthy in activation run
SRC-HOUSE-OVERSIGHT-SITE,House Oversight Homepage,site,https://oversight.house.gov/,active,text/html,,data/evidence/runs/ai-search-29227794883.json,none,FREE_DOM_MIRROR_HANDOFF.md,Healthy in activation run
SRC-CSPAN-SITE,C-SPAN Search Landing,site,https://www.c-span.org/,quarantined_pending_revalidation,text/html,unexpected-response,data/evidence/runs/ai-search-29227794883.json,revalidation_required,FREE_DOM_MIRROR_HANDOFF.md,Observed HTTP 202; retained pending explicit review
SRC-GUARDIAN-UK,Guardian UK RSS,rss,https://www.theguardian.com/uk/rss,active,application/rss+xml,,data/evidence/runs/ai-search-29227794883.json,none,FREE_DOM_MIRROR_HANDOFF.md,Healthy in activation run
SRC-REUTERS-UK,Reuters UK,rss,https://www.reuters.com/world/uk/rss,quarantined_pending_revalidation,application/rss+xml,access-restricted,data/evidence/runs/ai-search-29227794883.json,replacement_required,FREE_DOM_MIRROR_HANDOFF.md,Observed HTTP 401; no guessed replacement authorized
SRC-ABC-TOP,ABC News Top Stories,rss,https://abcnews.go.com/abcnews/topstories,active,application/rss+xml,,data/evidence/runs/ai-search-29227794883.json,none,FREE_DOM_MIRROR_HANDOFF.md,Healthy in activation run
